node_index,actual_elongation,actual_elongation_rate,actual_length_with_hairs,actual_potential_time_since_emergence,actual_time_since_cells_formation,actual_time_since_death,actual_time_since_emergence,actual_time_since_growth_stopped,actual_time_since_primordium_formation,actual_time_since_root_hairs_emergence_started,actual_time_since_root_hairs_emergence_stopped,all_root_hairs_formed,angle_down,angle_roll,axis_ID,biomass,C_hexose_reserve,C_hexose_root,C_hexose_soil,C_sucrose_root,cells_degradation,cells_degradation_rate,cells_release,cells_release_rate,cells_release_rate_per_day_per_cm,color,cortical_parenchyma_surface,Cs_cells_soil,Cs_mucilage_soil,dead_root_hairs_number,Deficit_cells_soil,Deficit_cells_soil_rate,Deficit_hexose_reserve,Deficit_hexose_reserve_rate,Deficit_hexose_root,Deficit_hexose_root_rate,Deficit_hexose_soil,Deficit_hexose_soil_rate,Deficit_mucilage_soil,Deficit_mucilage_soil_rate,Deficit_sucrose_root,Deficit_sucrose_root_rate,dist_to_ramif,distance_from_tip,edge_type,emergence_cost,emergence_delay_in_thermal_time,epidermis_surface_without_hairs,external_surface,former_distance_from_tip,global_sucrose_deficit,growing_zone_C_hexose_root,growth_duration,hexose_available_for_thickening,hexose_consumption_by_growth,hexose_consumption_by_growth_rate,hexose_consumption_rate_by_fungus,hexose_degradation,hexose_degradation_rate,hexose_exudation,hexose_exudation_rate,hexose_growth_demand,hexose_growth_demand_rate,hexose_immobilization_as_reserve,hexose_immobilization_as_reserve_rate,hexose_mobilization_from_reserve,hexose_mobilization_from_reserve_rate,hexose_possibly_required_for_elongation,hexose_production_from_phloem,hexose_production_from_phloem_rate,hexose_uptake_from_soil,hexose_uptake_from_soil_rate,initial_external_surface,initial_length,initial_living_root_hairs_external_surface,initial_living_root_hairs_struct_mass,initial_radius,initial_struct_mass,label,lateral_primordium_index,lateral_root_emergence_possibility,length,length_0.0-0.05_m,length_0.05-0.1_m,length_0.1-0.15_m,length_0.15-0.2_m,length_0.2-0.25_m,length_0.25-0.3_m,length_0.3-0.35_m,length_0.35-0.4_m,length_0.4-0.45_m,length_0.45-0.5_m,life_duration,list_of_elongation_supporting_elements,list_of_elongation_supporting_elements_hexose,list_of_elongation_supporting_elements_mass,living_root_hairs_external_surface,living_root_hairs_number,living_root_hairs_struct_mass,mucilage_degradation,mucilage_degradation_rate,mucilage_secretion,mucilage_secretion_rate,mucilage_secretion_rate_per_day_per_cm,net_hexose_exudation,net_hexose_exudation_rate_per_day_per_cm,net_hexose_exudation_rate_per_day_per_gram,net_hexose_immobilization_rate,net_rhizodeposition_rate_per_day_per_cm,net_sucrose_unloading_rate,non_vascular_exchange_surface_with_soil_solution,original_radius,permeability_coeff,phloem_exchange_surface_with_soil_solution,phloem_hexose_exudation,phloem_hexose_exudation_rate,phloem_hexose_uptake_from_soil,phloem_hexose_uptake_from_soil_rate,phloem_surface,phloem_surfacic_unloading_rate,potential_length,potential_radius,radius,relative_conductance_endodermis,relative_conductance_exodermis,relative_conductance_walls,resp_growth,resp_growth_rate,resp_maintenance,resp_maintenance_rate,root_hair_length,root_hair_radius,root_hairs_external_surface,root_hairs_lifespan,root_hairs_struct_mass,root_hairs_struct_mass_produced,root_hairs_volume,root_order,specific_net_exudation,stelar_parenchyma_surface,struct_mass,struct_mass_contributing_to_elongation,struct_mass_produced,sucrose_loading_in_phloem,sucrose_loading_in_phloem_rate,theoretical_radius,thermal_potential_time_since_emergence,thermal_time_since_cells_formation,thermal_time_since_death,thermal_time_since_emergence,thermal_time_since_growth_stopped,thermal_time_since_primordium_formation,thermal_time_since_root_hairs_emergence_started,thermal_time_since_root_hairs_emergence_stopped,total_exchange_surface_with_soil_solution,total_exudation_rate,total_hexose_uptake_from_soil_rate,total_net_rhizodeposition,total_root_hairs_number,type,volume,x1,x2,y1,y2,z1,z2
1,0.0,0.0,0.001,NA,5187600.041500981,0.0,5187600.041500981,0.0,5187600.041500981,5007118.017820367,4989616.866004508,True,0.0,0.0,Ax00001-Se00001,5.388199032806317e-05,9.469017816379576e-07,0.0,9.483895293698649e-07,0.00022234884693578716,0.0,0.0,0.0,0.0,0.0,NA,2.1991148575128552e-05,0.0,0.0,131.25,1.4825312499710298e-197,4.1181423280855e-201,0.0,0.0,3.0589688009904837e-10,8.497135490329817e-14,0.0,0.0,2.1619248040538495e-14,6.005346629884587e-18,0.0,0.0,0.0,0.21238502257053174,NA,0.0,NA,1.7592918860102843e-05,2.1991148575128554e-06,0.2120021663366128,NA,NA,5184000.0,1.9474840070467752e-09,9.129935301466173e-08,2.5360931190074144e-11,0.0,9.859303797432526e-13,2.738695477377249e-16,5.149328790073751e-11,1.4303690969108672e-14,0.0,0.0,3.2209947681965314e-11,8.94720761785715e-15,1.730106471545674e-11,4.805851271402285e-15,0.0,8.922657700598247e-08,2.4785160081158296e-11,2.464988637686608e-15,6.847190605463053e-19,2.1991148575128554e-06,0.001,0.0,0.0,0.00035,5.387831400906495e-05,Segment,NA,Impossible,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900000.0,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,2.852589688130192e-14,7.923860181415209e-18,4.933382670772819e-10,5.149082291212122e-11,8.905028806473664e-07,0.00165280391011779,4.141356346454864e-15,8.909962189144434e-07,1.2392580040579148e-11,1.9792033718454315e-05,0.00035,2e-05,6.766281845118009e-19,2.1394070103350642e-23,5.942797203388357e-27,8.427030847289616e-29,2.3408418832981584e-32,1.4074335088082275e-06,8.80509094250059e-06,0.001,0.00035,0.00035,4.807532150152838e-12,0.10000000003428823,1.0,1.09559223617594e-07,0.0,6.850598801464202e-10,1.9029440962942813e-13,0.0005914962560619243,6e-06,2.926728460955263e-06,165600,1.229225953601211e-06,1.8810263176589213e-08,8.780185382865792e-12,1,0.0,1.7592918860102843e-05,5.387831400906495e-05,NA,0.0,0.0,0.0,0.00035,0.0,2281493.684879813,0.0,2281493.684879813,0.0,2281493.684879813,2225667.2302589775,2218694.8831050303,1.9792033718454992e-05,1.4303690969114613e-14,6.847190605463287e-19,5.151934880900252e-11,131.25,Base_of_the_root_system,3.8484510006474964e-10,0.0,1.0206823934513926e-14,0.0,0.0,-0.1,-0.101
2,0.0,0.0,0.0,0.0,5187600.041500981,0.0,5187600.041500981,0.0,5187600.041500981,0.0,0.0,False,0.0,472.3821654593835,Ax00001-Se00001,NA,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21138502257053174,<,0.0,NA,NA,0.0,0.2110021663366128,NA,NA,365283.4752,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,0.00035,0.0,Segment,NA,Impossible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900000.0,NA,NA,NA,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00035,NA,NA,0.0,NA,0.0,NA,NA,NA,0.0,0.00035,0.00035,NA,NA,NA,0.0,NA,0.0,NA,0.0,6e-06,0.0,165600,0.0,0.0,0.0,1,0.0,NA,0.0,NA,0.0,0.0,NA,0.00035,0.0,2281493.684879813,0.0,2281493.684879813,0.0,2281493.684879813,0.0,0.0,NA,NA,NA,0.0,0.0,Support_for_seminal_root,0.0,1.0206823934513926e-14,1.0206823934513926e-14,0.0,0.0,-0.101,-0.101
3,0.0,0.0,0.0045,0.0,3064888.447936862,0.0,5039783.105137931,0.0,5187600.041500981,2478518.905757707,2151118.90200947,True,54.71828247736544,5.0,Ax00001-Se00001-Ax00001-Se00001,0.00020409170000966465,1.3286307349598024e-06,4.019974463231961e-05,6.332610809131403e-07,0.00022234884693578716,0.0,0.0,0.0,0.0,0.0,NA,8.927384573533452e-05,0.0,0.0,532.8140189100678,2.213310100717061e-234,6.148083563918279e-238,0.0,0.0,0.0,0.0,0.0,0.0,1.5892263016654617e-13,4.414517469310143e-17,0.0,0.0,0.0045,0.07825404009216422,+,0.0,43200,7.141907658826762e-05,8.927384573533452e-06,0.07820660600825953,NA,0.0001187753056979054,5184000.0,7.848085655065646e-09,0.0,0.0,0.0,2.226552936794665e-10,6.184869219395116e-14,2.2653028680731428e-10,6.292507916529779e-14,0.0,NA,1.2389685209392796e-10,3.441579197298699e-14,1.2336515877325908e-10,3.426809938509384e-14,0.0,6.940137010493522e-09,1.927815820825674e-12,5.586894972433003e-13,1.5519152577049567e-16,8.927384573533452e-06,0.0045,0.0,0.0,0.00031574164083559577,0.0001973122937532486,Segment,NA,Impossible,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4420382.971698341,"[3, 1]","[2.9539815955875168e-08, 0.0]","[0.00019482503204678193, 5.387831400906495e-05]",0.0,0.0,0.0,6.021678059234656e-13,1.672688336405898e-16,3.102519380827601e-13,8.618109322242907e-17,1.192360238900782e-09,2.259716023484575e-10,8.684540551979596e-07,0.0019806384964933155,1.4769258789315306e-16,8.696464154368603e-07,1.0631846866988901e-13,8.034665897503085e-05,0.00031574164083559577,2e-05,1.5960370658334254e-13,5.039496286518113e-18,1.3998600683894843e-21,1.1098023953544313e-21,3.082784406877812e-25,5.71352612706141e-06,1.6870631007486015e-07,0.0045,0.00031574164083559577,0.00031574164083559577,2.793380537013945e-07,0.10000199233227235,1.0,0.0,NA,2.7291676280768506e-09,7.581021128454195e-13,0.001,6e-06,2.0086615290450267e-05,165600,8.436378421989113e-06,0.0,6.02598458713508e-11,1,0.0,7.141907658826762e-05,0.0001973122937532486,0.00024870334605584687,0.0,3.0873220149731882e-09,8.57589441742948e-13,0.00031574164083559577,1251.9403135622997,1427611.5622178463,0.0,2238293.6848798124,0.0,2281493.684879813,1171606.8267877253,1053993.587011064,8.034665913463456e-05,6.292508056515786e-14,1.551915260787741e-16,2.2628185428654024e-10,532.8140189100678,Normal_root_after_emergence,1.4093735268089186e-09,1.0206823934513926e-14,-0.0013548666210157004,0.0,-0.0032900592032730036,-0.101,-0.1037549676728028
4,0.0,0.0,0.0,0.0,5187600.041500981,0.0,5187600.041500981,0.0,5187600.041500981,0.0,0.0,False,0.0,472.3821654593835,Ax00001-Se00001,NA,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21138502257053174,<,0.0,NA,NA,0.0,0.2110021663366128,NA,NA,365283.4752,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,0.00035,0.0,Segment,NA,Impossible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900000.0,NA,NA,NA,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00035,NA,NA,0.0,NA,0.0,NA,NA,NA,0.0,0.00035,0.00035,NA,NA,NA,0.0,NA,0.0,NA,0.0,6e-06,0.0,165600,0.0,0.0,0.0,1,0.0,NA,0.0,NA,0.0,0.0,NA,0.00035,0.0,2281493.684879813,0.0,2281493.684879813,0.0,2281493.684879813,0.0,0.0,NA,NA,NA,0.0,0.0,Support_for_seminal_root,0.0,1.0206823934513926e-14,1.0206823934513926e-14,0.0,0.0,-0.101,-0.101
5,0.0,0.0,0.0045,0.0,3064888.447936862,0.0,5039783.105137931,0.0,5187600.041500981,2478518.905757707,2151961.6518378137,True,54.71828247736544,5.0,Ax00001-Se00001-Ax00002-Se00001,0.00020409170045002588,1.328631136681845e-06,4.019977097553087e-05,6.33261484229583e-07,0.00022234884693578716,0.0,0.0,0.0,0.0,0.0,NA,8.927384573533452e-05,0.0,2.6566368975584897e-08,532.8140189100678,1.5611812065942355e-234,4.3366144280688505e-238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045,0.0786673511001023,+,0.0,43200,7.141907658826762e-05,8.927384573533452e-06,0.07853387056337603,NA,0.0001187753056979054,5184000.0,7.848090395271254e-09,0.0,0.0,0.0,2.2265542051001243e-10,6.184872742465808e-14,2.2653042373804098e-10,6.292511720161045e-14,0.0,NA,1.238968896160217e-10,3.4415802395790725e-14,1.2336519382095124e-10,3.426810912056381e-14,0.0,6.9401365930281654e-09,1.927815704863076e-12,5.586898166608827e-13,1.5519161449760118e-16,8.927384573533452e-06,0.0045,0.0,0.0,0.00031574164083559577,0.0001973122937532486,Segment,NA,Impossible,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4420382.971698341,"[5, 1]","[2.9539815955875168e-08, 0.0]","[0.00019482503204678193, 5.387831400906495e-05]",0.0,0.0,0.0,0.0,0.0,3.0858094033624916e-13,8.571692718544491e-17,1.1859382604127665e-09,2.259717389597666e-10,8.684545802225385e-07,0.0019806396938898694,1.476932752269151e-16,8.696405184829514e-07,1.0631835284602006e-13,8.034665897503085e-05,0.00031574164083559577,2e-05,1.5960370658334254e-13,5.039496282453047e-18,1.3998600672602994e-21,1.1098030298578537e-21,3.0827861693873047e-25,5.71352612706141e-06,1.6870629992678388e-07,0.0045,0.00031574164083559577,0.00031574164083559577,2.793380537013945e-07,0.10000199233227235,1.0,0.0,NA,2.7291690701549042e-09,7.581025134226533e-13,0.001,6e-06,2.0086615290450267e-05,165600,8.436378421989113e-06,0.0,6.02598458713508e-11,1,0.0,7.141907658826762e-05,0.0001973122937532486,0.00024870334605584687,0.0,3.087322223206442e-09,8.57589499585518e-13,0.00031574164083559577,1251.9403135622997,1427611.5622178463,0.0,2238293.6848798124,0.0,2281493.684879813,1171606.8267877253,1054303.8136244167,8.034665913463456e-05,6.292511860147052e-14,1.551916148058798e-16,2.2628031990010284e-10,532.8140189100678,Normal_root_after_emergence,1.4093735268089186e-09,1.0206823934513926e-14,-0.002526291695835958,0.0,0.0025055944183461445,-0.101,-0.10375496767281422
6,0.0,0.0,0.0,0.0,5187600.041500981,0.0,5187600.041500981,0.0,5187600.041500981,0.0,0.0,False,0.0,472.3821654593835,Ax00001-Se00001,NA,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21138502257053174,<,0.0,NA,NA,0.0,0.2110021663366128,NA,NA,365283.4752,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,0.00035,0.0,Segment,NA,Impossible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900000.0,NA,NA,NA,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00035,NA,NA,0.0,NA,0.0,NA,NA,NA,0.0,0.00035,0.00035,NA,NA,NA,0.0,NA,0.0,NA,0.0,6e-06,0.0,165600,0.0,0.0,0.0,1,0.0,NA,0.0,NA,0.0,0.0,NA,0.00035,0.0,2281493.684879813,0.0,2281493.684879813,0.0,2281493.684879813,0.0,0.0,NA,NA,NA,0.0,0.0,Support_for_seminal_root,0.0,1.0206823934513926e-14,1.0206823934513926e-14,0.0,0.0,-0.101,-0.101
7,0.0,0.0,0.0045,0.0,1877570.0066311222,0.0,4812790.7127046855,0.0,5187600.041500981,991465.0292691179,871803.532313595,True,54.71828247736544,5.0,Ax00001-Se00001-Ax00003-Se00001,0.00020409153794910084,1.3284602780517001e-06,4.019022925171084e-05,6.332585748476745e-07,0.00022234884693578716,0.0,0.0,0.0,0.0,0.0,NA,8.927384573533452e-05,0.0,0.0,532.8140189100678,5.093378309777911e-42,1.4148272969530237e-45,0.0,0.0,0.0,0.0,0.0,0.0,1.0033033825207026e-12,2.7869538180396546e-16,0.0,0.0,0.0045,0.05099451491130036,+,0.0,129600,7.141907658826762e-05,8.927384573533452e-06,0.050951266419049006,NA,0.00011799435013194482,5184000.0,7.84618040951995e-09,0.0,0.0,0.0,2.2283268632580313e-10,6.189796792865047e-14,2.267620152334459e-10,6.298944817204162e-14,0.0,NA,1.238817688921686e-10,3.441160219475402e-14,1.2334958377048528e-10,3.4263772995469067e-14,0.0,6.940304803639556e-09,1.927862430032533e-12,5.591336546912183e-13,1.5531490283837474e-16,8.927384573533452e-06,0.0045,0.0,0.0,0.00031574164083559577,0.0001973122937532486,Segment,NA,Impossible,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4420382.971698341,"[7, 1]","[2.9370807868131205e-08, 0.0]","[0.0001950387556242513, 5.387831400906495e-05]",0.0,0.0,0.0,1.907257704174808e-12,5.29793802476874e-16,4.825590079874496e-13,1.3404416781304934e-16,1.8545707646608007e-09,2.2620549780663662e-10,8.693529622156423e-07,0.001982688587495061,1.478291992849552e-16,8.712075329803032e-07,1.0636502714419789e-13,8.044809335788059e-05,0.00031574164083559577,2e-05,8.287560918393405e-11,2.6168038874126367e-15,7.268899629106128e-19,5.760054752526322e-19,1.600015196234968e-22,5.71352612706141e-06,1.687103889226524e-07,0.0045,0.00031574164083559577,0.00031574164083559577,0.00014358194099145294,0.10102356637250808,1.0,0.0,NA,2.7285879915143972e-09,7.579411026904705e-13,0.001,6e-06,2.0086615290450267e-05,165600,8.436378421989113e-06,0.0,6.02598458713508e-11,1,0.0,7.141907658826762e-05,0.0001973122937532486,0.00024891706963331623,0.0,3.0872383010373528e-09,8.575661878720686e-13,0.00031574164083559577,1111.9406883216434,941723.6398525102,0.0,2151893.6848798124,0.0,2281493.684879813,574861.7149217002,514142.4482647061,8.044817623348977e-05,6.299017506200452e-14,1.5531506283989436e-16,2.2668805681462407e-10,532.8140189100678,Normal_root_after_emergence,1.4093735268089186e-09,1.0206823934513926e-14,0.003278802325952517,0.0,0.0013818858235960312,-0.101,-0.10375496767275764
8,0.0,0.0,0.0,0.0,5187600.041500981,0.0,5187600.041500981,0.0,5187600.041500981,0.0,0.0,False,0.0,104.98358746701528,Ax00001-Se00001,NA,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21138502257053174,<,0.0,NA,NA,0.0,0.2110021663366128,NA,NA,365283.4752,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,0.00035,0.0,Segment,NA,Impossible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900000.0,NA,NA,NA,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00035,NA,NA,0.0,NA,0.0,NA,NA,NA,0.0,0.00035,0.00035,NA,NA,NA,0.0,NA,0.0,NA,0.0,6e-06,0.0,165600,0.0,0.0,0.0,1,0.0,NA,0.0,NA,0.0,0.0,NA,0.00035,0.0,2281493.684879813,0.0,2281493.684879813,0.0,2281493.684879813,0.0,0.0,NA,NA,NA,0.0,0.0,Support_for_seminal_root,0.0,1.0206823934513926e-14,1.0206823934513926e-14,0.0,0.0,-0.101,-0.101
9,0.0,0.0,0.0045,0.0,1488704.5528930065,0.0,4812790.7127046855,0.0,5187600.041500981,737594.3539724009,641153.6942124102,True,38.63803904331546,5.0,Ax00001-Se00001-Ax00004-Se00001,0.00024627335092089025,1.3111409129480556e-06,3.919443700307909e-05,6.129797976401804e-07,0.00022234884693578716,0.0,0.0,0.0,0.0,0.0,NA,9.806926063476106e-05,0.0,0.0,585.3077848271118,8.382942621888972e-43,2.3285951541181756e-46,0.0,0.0,0.0,0.0,0.0,0.0,4.728212849253578e-13,1.3133924476188544e-16,0.0,0.0,0.0045,0.04746025688051706,+,0.0,129600,7.845540850780885e-05,9.806926063476106e-06,0.0473208116825762,NA,0.0001707702681489158,5184000.0,9.236638207782316e-09,0.0,0.0,0.0,2.430160050424207e-10,6.75044453050813e-14,2.452991953061738e-10,6.813866481771674e-14,0.0,NA,1.4763683007805195e-10,4.1010230249154816e-14,1.4694773128186038e-10,4.0818813918410706e-14,0.0,7.642654455878474e-09,2.1229595540936775e-12,6.097404458580316e-13,1.6937234471669668e-16,9.806926063476106e-06,0.0045,0.0,0.0,0.00034684905767532555,0.0002381066144665794,Segment,NA,Impossible,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4855886.807454558,"[9, 1]","[4.894241507201661e-08, 0.0]","[0.00023271967288018464, 5.387831400906495e-05]",0.0,0.0,0.0,1.3983529033316083e-12,3.88431358929107e-16,6.166334695282061e-13,1.7128707349864954e-16,2.3698457311320362e-09,2.447160599039413e-10,9.404927538988853e-07,0.0017774463771307863,1.9141633074410975e-16,9.428625996300172e-07,1.2205722549543959e-13,8.921899524203365e-05,0.00034684905767532555,2e-05,8.42758838645143e-10,2.661080320788691e-14,7.391889720833469e-18,5.7595823471478626e-18,1.5998839725197792e-21,6.276432680624708e-06,1.6912151074664074e-07,0.0045,0.00034684905767532555,0.00034684905767532555,0.0012345022997475041,0.10876734751494013,1.0,0.0,NA,3.2220021031629307e-09,8.950005770519207e-13,0.001,6e-06,2.206558364282124e-05,165600,9.267545129984923e-06,0.0,6.619675092846373e-11,1,0.0,7.845540850780885e-05,0.0002381066144665794,0.0002865979868892496,0.0,3.381921212640406e-09,9.394225515513992e-13,0.00034684905767532555,1111.9406883216434,774211.7047056071,0.0,2151893.6848798124,0.0,2281493.684879813,441687.98691977764,387274.1580342616,8.92198380008723e-05,6.814605670743758e-14,1.693739446006692e-16,2.453326933734695e-10,585.3077848271118,Normal_root_after_emergence,1.7007615319041386e-09,1.0206823934513926e-14,0.00036843556703297295,0.0,-0.002665451346230771,-0.101,-0.10460688568627136
10,0.0,0.0,0.0,0.0,5187600.041500981,0.0,5187600.041500981,0.0,5187600.041500981,0.0,0.0,False,0.0,472.3821654593835,Ax00001-Se00001,NA,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21138502257053174,<,0.0,NA,NA,0.0,0.2110021663366128,NA,NA,365283.4752,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,0.00035,0.0,Segment,NA,Impossible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900000.0,NA,NA,NA,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00035,NA,NA,0.0,NA,0.0,NA,NA,NA,0.0,0.00035,0.00035,NA,NA,NA,0.0,NA,0.0,NA,0.0,6e-06,0.0,165600,0.0,0.0,0.0,1,0.0,NA,0.0,NA,0.0,0.0,NA,0.00035,0.0,2281493.684879813,0.0,2281493.684879813,0.0,2281493.684879813,0.0,0.0,NA,NA,NA,0.0,0.0,Support_for_seminal_root,0.0,1.0206823934513926e-14,1.0206823934513926e-14,0.0,0.0,-0.101,-0.101
