node_index,actual_elongation,actual_elongation_rate,actual_length_with_hairs,actual_potential_time_since_emergence,actual_time_since_cells_formation,actual_time_since_death,actual_time_since_emergence,actual_time_since_growth_stopped,actual_time_since_primordium_formation,actual_time_since_root_hairs_emergence_started,actual_time_since_root_hairs_emergence_stopped,all_root_hairs_formed,angle_down,angle_roll,axis_ID,biomass,C_hexose_reserve,C_hexose_root,C_hexose_soil,C_sucrose_root,cells_degradation,cells_degradation_rate,cells_release,cells_release_rate,cells_release_rate_per_day_per_cm,color,cortical_parenchyma_surface,Cs_cells_soil,Cs_mucilage_soil,dead_root_hairs_number,Deficit_cells_soil,Deficit_cells_soil_rate,Deficit_hexose_reserve,Deficit_hexose_reserve_rate,Deficit_hexose_root,Deficit_hexose_root_rate,Deficit_hexose_soil,Deficit_hexose_soil_rate,Deficit_mucilage_soil,Deficit_mucilage_soil_rate,Deficit_sucrose_root,Deficit_sucrose_root_rate,dist_to_ramif,distance_from_tip,edge_type,emergence_cost,emergence_delay_in_thermal_time,epidermis_surface_without_hairs,external_surface,former_distance_from_tip,global_sucrose_deficit,growing_zone_C_hexose_root,growth_duration,hexose_available_for_thickening,hexose_consumption_by_growth,hexose_consumption_by_growth_rate,hexose_consumption_rate_by_fungus,hexose_degradation,hexose_degradation_rate,hexose_exudation,hexose_exudation_rate,hexose_growth_demand,hexose_growth_demand_rate,hexose_immobilization_as_reserve,hexose_immobilization_as_reserve_rate,hexose_mobilization_from_reserve,hexose_mobilization_from_reserve_rate,hexose_possibly_required_for_elongation,hexose_production_from_phloem,hexose_production_from_phloem_rate,hexose_uptake_from_soil,hexose_uptake_from_soil_rate,initial_external_surface,initial_length,initial_living_root_hairs_external_surface,initial_living_root_hairs_struct_mass,initial_radius,initial_struct_mass,label,lateral_primordium_index,lateral_root_emergence_possibility,length,length_0.0-0.05_m,length_0.05-0.1_m,length_0.1-0.15_m,length_0.15-0.2_m,length_0.2-0.25_m,length_0.25-0.3_m,length_0.3-0.35_m,length_0.35-0.4_m,length_0.4-0.45_m,length_0.45-0.5_m,life_duration,list_of_elongation_supporting_elements,list_of_elongation_supporting_elements_hexose,list_of_elongation_supporting_elements_mass,living_root_hairs_external_surface,living_root_hairs_number,living_root_hairs_struct_mass,mucilage_degradation,mucilage_degradation_rate,mucilage_secretion,mucilage_secretion_rate,mucilage_secretion_rate_per_day_per_cm,net_hexose_exudation,net_hexose_exudation_rate_per_day_per_cm,net_hexose_exudation_rate_per_day_per_gram,net_hexose_immobilization_rate,net_rhizodeposition_rate_per_day_per_cm,net_sucrose_unloading_rate,non_vascular_exchange_surface_with_soil_solution,original_radius,permeability_coeff,phloem_exchange_surface_with_soil_solution,phloem_hexose_exudation,phloem_hexose_exudation_rate,phloem_hexose_uptake_from_soil,phloem_hexose_uptake_from_soil_rate,phloem_surface,phloem_surfacic_unloading_rate,potential_length,potential_radius,radius,relative_conductance_endodermis,relative_conductance_exodermis,relative_conductance_walls,resp_growth,resp_growth_rate,resp_maintenance,resp_maintenance_rate,root_hair_length,root_hair_radius,root_hairs_external_surface,root_hairs_lifespan,root_hairs_struct_mass,root_hairs_struct_mass_produced,root_hairs_volume,root_order,specific_net_exudation,stelar_parenchyma_surface,struct_mass,struct_mass_contributing_to_elongation,struct_mass_produced,sucrose_loading_in_phloem,sucrose_loading_in_phloem_rate,theoretical_radius,thermal_potential_time_since_emergence,thermal_time_since_cells_formation,thermal_time_since_death,thermal_time_since_emergence,thermal_time_since_growth_stopped,thermal_time_since_primordium_formation,thermal_time_since_root_hairs_emergence_started,thermal_time_since_root_hairs_emergence_stopped,total_exchange_surface_with_soil_solution,total_exudation_rate,total_hexose_uptake_from_soil_rate,total_net_rhizodeposition,total_root_hairs_number,type,volume,x1,x2,y1,y2,z1,z2
1,0.0,0.0,0.001,NA,2606400.0208512237,0.0,2606400.0208512237,0.0,2606400.0208512237,2425917.99717061,2408416.845354751,True,0.0,0.0,Ax00001-Se00001,5.5197996864227856e-05,2.989213638355489e-08,8.462195393802397e-06,1.7784890541867807e-09,0.00017352125620342235,0.0,0.0,0.0,0.0,0.0,NA,2.1991148575128552e-05,0.0,0.0,131.25,1.4825312499710298e-197,4.1181423280855e-201,0.0,0.0,0.0,0.0,0.0,0.0,2.7527878934571363e-15,7.646632976207871e-19,0.0,0.0,0.0,0.12058189968435706,NA,0.0,NA,1.7592918860102843e-05,2.1991148575128554e-06,0.1204561608637396,NA,NA,5184000.0,0.0,0.0,0.0,0.0,2.8357442323199924e-13,7.877067248983442e-17,0.0,0.0,0.0,0.0,0.0,0.0,8.207200916499176e-13,2.2797780141226584e-16,0.0,8.327406503298259e-10,2.313168454633058e-13,7.089660655899289e-16,1.969350166439446e-19,2.1991148575128554e-06,0.001,0.0,0.0,0.00035,5.387831400906495e-05,Segment,NA,Impossible,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900000.0,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.089662164600829e-16,-1.2261145235858094e-11,-2.27571063819762e-08,-2.2797780141226584e-16,-1.2261145235858094e-11,1.156584227316529e-13,1.979724373865229e-05,0.00035,0.0,4.212914208572627e-12,0.0,0.0,1.508701539744226e-22,4.1908375768739277e-26,1.4074335088082275e-06,8.217682896408298e-08,0.001,0.00035,0.00035,2.986968096848841e-05,0.10021301871282134,1.0,0.0,0.0,0.0,0.0,0.00042087756652055015,6e-06,2.082505746890693e-06,165600,8.746524136940911e-07,0.0,6.24751724067208e-12,1,0.0,1.7592918860102843e-05,5.387831400906495e-05,NA,0.0,0.0,0.0,0.00035,0.0,1063938.2922628536,0.0,1063938.2922628536,0.0,1063938.2922628536,1008111.837642019,1001139.4904880718,1.97972479515665e-05,0.0,1.9693505855232037e-19,-7.089662164600829e-16,131.25,Base_of_the_root_system,3.8484510006474964e-10,0.0,1.0206823934513926e-14,0.0,0.0,-0.1,-0.101
2,0.0,0.0,0.0,0.0,2606400.0208512237,0.0,2606400.0208512237,0.0,2606400.0208512237,0.0,0.0,False,0.0,472.3821654593835,Ax00001-Se00001,NA,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11958189968435706,<,0.0,NA,NA,0.0,0.1194561608637396,NA,NA,365283.4752,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,0.00035,0.0,Segment,NA,Impossible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900000.0,NA,NA,NA,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00035,NA,NA,0.0,NA,0.0,NA,NA,NA,0.0,0.00035,0.00035,NA,NA,NA,0.0,NA,0.0,NA,0.0,6e-06,0.0,165600,0.0,0.0,0.0,1,0.0,NA,0.0,NA,0.0,0.0,NA,0.00035,0.0,1063938.2922628536,0.0,1063938.2922628536,0.0,1063938.2922628536,0.0,0.0,NA,NA,NA,0.0,0.0,Support_for_seminal_root,0.0,1.0206823934513926e-14,1.0206823934513926e-14,0.0,0.0,-0.101,-0.101
3,8.270911578876598e-05,2.2974754201970298e-08,0.0,0.0,499677.81072778953,0.0,2458583.0844881744,0.0,2606400.0208512237,0.0,0.0,False,54.71828247736544,5.0,Ax00001-Se00001-Ax00001-Ap00000,0.00019557725861789948,2.014524390473714e-06,0.00014900811764989114,5.507254456671636e-06,0.00017352125620342235,1.0197214613950218e-10,2.8325595923256953e-14,1.026619699882603e-10,2.8517213657490155e-14,4.075135692972869e-07,NA,8.643402657328533e-05,1.332672269044491e-05,1.381160799053639e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004356854086166433,0.004356854086166433,+,0.0,43200,6.914722125862826e-05,8.643402657328533e-06,0.004274144970377667,NA,0.0001147172211713342,5184000.0,NA,2.767983178328639e-08,7.688842100513261e-12,0.0,1.4503334924123522e-09,4.028704113360235e-13,1.432611403280094e-09,3.979476088386675e-13,8.341199520716152e-08,NA,1.3133104706954476e-10,3.648084611636011e-14,1.2373120145783427e-10,3.436977790777352e-14,2.7679831783286293e-08,3.077966128749368e-08,8.549905844793442e-12,3.7404408030908264e-12,1.0390113258798058e-15,8.47931908302115e-06,0.004274144970377667,0.0,0.0,0.00031574164083559577,0.0001874091884309174,Apex,NA,Impossible,0.004356854086166433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4420382.971698341,"[3, 1]","[2.7679831783286293e-08, 0.0]","[0.0001874091884309174, 5.387831400906495e-05]",0.0,0.0,0.0,4.3101597612586265e-13,1.197266590771486e-16,1.216064524930578e-11,3.3779569866723945e-15,4.8271311675291094e-08,1.4829043517479373e-09,5.886343749066817e-06,0.013424681436183729,2.1110682085865933e-15,6.342128630039394e-06,4.274952922396721e-12,0.00013986898500335514,0.00031574164083559577,2e-05,2.2003839285873876e-06,5.409223295117342e-11,1.502562014400988e-14,5.884368023944785e-14,1.6345466602416226e-17,5.531777700690261e-06,7.727991169752335e-07,0.004523385371250581,0.00031574164083559577,0.00031574164083559577,0.795545613249677,0.9999969037131704,0.5,3.321579813994366e-08,NA,4.574942456788191e-09,1.2708173389412923e-12,0.0,6e-06,0.0,165600,0.0,0.0,0.0,1,0.0,6.914722125862826e-05,0.00019103574961993618,0.00024128750243998233,3.6265611890187735e-06,0.0,0.0,0.00031574164083559577,1251.9403135622997,217003.79721118163,0.0,1020738.2922628534,0.0,1063938.2922628536,0.0,0.0,0.00014206936893194252,4.129732289826774e-13,1.055356792482222e-15,1.5977269669855034e-09,0.0,Normal_root_after_emergence,1.3645410687138298e-09,1.0206823934513926e-14,-0.0013117680386625114,0.0,-0.003185401751890992,-0.101,-0.1036673315916683
4,0.0,0.0,0.0,0.0,2606400.0208512237,0.0,2606400.0208512237,0.0,2606400.0208512237,0.0,0.0,False,0.0,472.3821654593835,Ax00001-Se00001,NA,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11958189968435706,<,0.0,NA,NA,0.0,0.1194561608637396,NA,NA,365283.4752,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,0.00035,0.0,Segment,NA,Impossible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900000.0,NA,NA,NA,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00035,NA,NA,0.0,NA,0.0,NA,NA,NA,0.0,0.00035,0.00035,NA,NA,NA,0.0,NA,0.0,NA,0.0,6e-06,0.0,165600,0.0,0.0,0.0,1,0.0,NA,0.0,NA,0.0,0.0,NA,0.00035,0.0,1063938.2922628536,0.0,1063938.2922628536,0.0,1063938.2922628536,0.0,0.0,NA,NA,NA,0.0,0.0,Support_for_seminal_root,0.0,1.0206823934513926e-14,1.0206823934513926e-14,0.0,0.0,-0.101,-0.101
5,8.270911578876598e-05,2.2974754201970298e-08,0.0,0.0,499677.81072778953,0.0,2458583.0844881744,0.0,2606400.0208512237,0.0,0.0,False,54.71828247736544,5.0,Ax00001-Se00001-Ax00002-Ap00000,0.00019557725861789948,2.014524390473714e-06,0.00014900811764989114,5.507254456671636e-06,0.00017352125620342235,1.0197214613950218e-10,2.8325595923256953e-14,1.026619699882603e-10,2.8517213657490155e-14,4.075135692972869e-07,NA,8.643402657328533e-05,1.332672269044491e-05,1.381160799053639e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004356854086166433,0.004356854086166433,+,0.0,43200,6.914722125862826e-05,8.643402657328533e-06,0.004274144970377667,NA,0.0001147172211713342,5184000.0,NA,2.767983178328639e-08,7.688842100513261e-12,0.0,1.4503334924123522e-09,4.028704113360235e-13,1.432611403280094e-09,3.979476088386675e-13,8.341199520716152e-08,NA,1.3133104706954476e-10,3.648084611636011e-14,1.2373120145783427e-10,3.436977790777352e-14,2.7679831783286293e-08,3.077966128749368e-08,8.549905844793442e-12,3.7404408030908264e-12,1.0390113258798058e-15,8.47931908302115e-06,0.004274144970377667,0.0,0.0,0.00031574164083559577,0.0001874091884309174,Apex,NA,Impossible,0.004356854086166433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4420382.971698341,"[5, 1]","[2.7679831783286293e-08, 0.0]","[0.0001874091884309174, 5.387831400906495e-05]",0.0,0.0,0.0,4.3101597612586265e-13,1.197266590771486e-16,1.216064524930578e-11,3.3779569866723945e-15,4.8271311675291094e-08,1.4829043517479373e-09,5.886343749066817e-06,0.013424681436183729,2.1110682085865933e-15,6.342128630039394e-06,4.274952922396721e-12,0.00013986898500335514,0.00031574164083559577,2e-05,2.2003839285873876e-06,5.409223295117342e-11,1.502562014400988e-14,5.884368023944785e-14,1.6345466602416226e-17,5.531777700690261e-06,7.727991169752335e-07,0.004523385371250581,0.00031574164083559577,0.00031574164083559577,0.795545613249677,0.9999969037131704,0.5,3.321579813994366e-08,NA,4.574942456788191e-09,1.2708173389412923e-12,0.0,6e-06,0.0,165600,0.0,0.0,0.0,1,0.0,6.914722125862826e-05,0.00019103574961993618,0.00024128750243998233,3.6265611890187735e-06,0.0,0.0,0.00031574164083559577,1251.9403135622997,217003.79721118163,0.0,1020738.2922628534,0.0,1063938.2922628536,0.0,0.0,0.00014206936893194252,4.129732289826774e-13,1.055356792482222e-15,1.5977269669855034e-09,0.0,Normal_root_after_emergence,1.3645410687138298e-09,1.0206823934513926e-14,-0.002445929843966613,0.0,0.002425890951077157,-0.101,-0.10366733159167935
6,0.0,0.0,0.0,0.0,2606400.0208512237,0.0,2606400.0208512237,0.0,2606400.0208512237,0.0,0.0,False,0.0,472.3821654593835,Ax00001-Se00001,NA,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11958189968435706,<,0.0,NA,NA,0.0,0.1194561608637396,NA,NA,365283.4752,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,0.00035,0.0,Segment,NA,Impossible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900000.0,NA,NA,NA,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00035,NA,NA,0.0,NA,0.0,NA,NA,NA,0.0,0.00035,0.00035,NA,NA,NA,0.0,NA,0.0,NA,0.0,6e-06,0.0,165600,0.0,0.0,0.0,1,0.0,NA,0.0,NA,0.0,0.0,NA,0.00035,0.0,1063938.2922628536,0.0,1063938.2922628536,0.0,1063938.2922628536,0.0,0.0,NA,NA,NA,0.0,0.0,Support_for_seminal_root,0.0,1.0206823934513926e-14,1.0206823934513926e-14,0.0,0.0,-0.101,-0.101
7,2.848687497536504e-06,7.913020763186124e-10,0.0,0.0,913376.5944115327,0.0,2231590.6920549287,0.0,2606400.0208512237,0.0,0.0,False,54.71828247736544,5.0,Ax00001-Se00001-Ax00003-Ap00000,4.406502382158768e-05,9.523230606220261e-07,2.201148561757094e-05,7.991946570872582e-07,0.00017352125620342235,3.18599382409095e-11,8.849982773897222e-15,3.186861849924624e-11,8.852393956749249e-15,5.620288142673971e-07,NA,1.9454580992843584e-05,1.9948393969686172e-05,1.4115361626389564e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009806412364864172,0.0009806412364864172,+,0.0,129600,1.5563664794274866e-05,1.9454580992843583e-06,0.0009777925489888807,NA,9.853624774346215e-06,5184000.0,NA,9.533555035982304e-10,2.648209711031629e-13,0.0,3.8992278846695945e-11,1.0831188481877145e-14,3.7173172249359045e-11,1.0325881097770465e-14,1.0608100238126057e-08,NA,1.342181779652029e-11,3.728282691429375e-15,1.3618884607690445e-11,3.783023471872047e-15,9.533555035981882e-10,1.0546303380643657e-09,2.929528693409231e-13,9.794916580901203e-14,2.7208101395949645e-17,1.9398066928798413e-06,0.0009777925489888807,0.0,0.0,0.00031574164083559577,4.2873442367962615e-05,Apex,NA,Impossible,0.0009806412364864172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4420382.971698341,"[7, 1]","[9.533555035981882e-10, 0.0]","[4.2873442367962615e-05, 5.387831400906495e-05]",0.0,0.0,0.0,0.0,0.0,2.7904527157669588e-12,7.751257481787049e-16,4.9211886331026115e-08,3.8850601714597885e-11,6.851617247150766e-07,0.0015626131056352798,-5.4740780442672093e-17,1.2964024253135e-06,1.4647643467046154e-13,2.4090231067404273e-05,0.00031574164083559577,2e-05,7.126383549950559e-08,1.775668384733484e-12,4.932412140355937e-16,2.89753685632844e-16,8.048713425411516e-20,1.2450931835419894e-06,1.1764294962548222e-07,0.0010094902340674363,0.00031574164083559577,0.00031574164083559577,0.15155401887091813,0.7553180715499349,0.5,1.1440266043178762e-09,NA,2.1981338409485198e-10,6.105927287120693e-14,0.0,6e-06,0.0,165600,0.0,0.0,0.0,1,0.0,1.5563664794274866e-05,4.299834927114598e-05,9.675175637702756e-05,1.2490690318336528e-07,0.0,0.0,0.00031574164083559577,1111.9406883216434,393529.73164650484,0.0,934338.2922628534,0.0,1063938.2922628536,0.0,0.0,2.416149490290378e-05,1.0819122311806058e-14,2.728858853020376e-17,7.350967292961109e-11,0.0,Normal_root_after_emergence,3.071310662224713e-10,1.0206823934513926e-14,0.0007145175038116752,0.0,0.00030114093838539183,-0.101,-0.10160036331224293
8,0.0,0.0,0.0,0.0,2606400.0208512237,0.0,2606400.0208512237,0.0,2606400.0208512237,0.0,0.0,False,0.0,104.98358746701528,Ax00001-Se00001,NA,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11958189968435706,<,0.0,NA,NA,0.0,0.1194561608637396,NA,NA,365283.4752,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,0.00035,0.0,Segment,NA,Impossible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900000.0,NA,NA,NA,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00035,NA,NA,0.0,NA,0.0,NA,NA,NA,0.0,0.00035,0.00035,NA,NA,NA,0.0,NA,0.0,NA,0.0,6e-06,0.0,165600,0.0,0.0,0.0,1,0.0,NA,0.0,NA,0.0,0.0,NA,0.00035,0.0,1063938.2922628536,0.0,1063938.2922628536,0.0,1063938.2922628536,0.0,0.0,NA,NA,NA,0.0,0.0,Support_for_seminal_root,0.0,1.0206823934513926e-14,1.0206823934513926e-14,0.0,0.0,-0.101,-0.101
9,1.7320384076478876e-06,4.811217760532169e-10,0.0,0.0,971468.046382644,0.0,2231590.6920549287,0.0,2606400.0208512237,0.0,0.0,False,38.63803904331546,5.0,Ax00001-Se00001-Ax00004-Ap00000,3.86731392739885e-05,8.446486110051643e-07,1.8402977645907038e-05,6.620442733099444e-07,0.00017352125620342235,2.6151242190041257e-11,7.264233883564257e-15,2.6146911100966294e-11,7.26303080327528e-15,6.340635471228764e-07,NA,1.5542235588428033e-05,2.063407463810323e-05,1.5380764600923822e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007131700565012274,0.0007131700565012274,+,0.0,129600,1.2433788470742426e-05,1.5542235588428033e-06,0.0007114380180935795,NA,7.642893468083839e-06,5184000.0,NA,6.99495462184033e-10,1.9430429349668595e-13,0.0,2.4442871128901447e-11,6.7896863703773555e-15,2.348180055024012e-11,6.522722322884923e-15,1.1019152935008547e-08,NA,1.045721644474582e-11,2.90478232252447e-15,1.0630241182146076e-11,2.9528447491955966e-15,6.99495462184036e-10,7.734705547512009e-10,2.1485293015651016e-13,6.135058781994365e-14,1.704182981364971e-17,1.55044889826438e-06,0.0007114380180935795,0.0,0.0,0.00034684905767532555,3.7644021753572285e-05,Apex,NA,Impossible,0.0007131700565012274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4855886.807454558,"[9, 1]","[6.99495462184036e-10, 0.0]","[3.7644021753572285e-05, 5.387831400906495e-05]",0.0,0.0,0.0,0.0,0.0,2.429089124289818e-12,6.747469735714182e-16,5.89054997922062e-08,2.4334186087764064e-11,5.901048994879407e-07,0.001115244972780231,-4.806242667112668e-17,1.2830739464030236e-06,1.0742646507825508e-13,1.8204330549112862e-05,0.00034684905767532555,2e-05,3.66617627346727e-08,9.138596794997643e-13,2.5384990894135753e-16,1.2355415587622828e-16,3.432059857994307e-20,9.947030776593942e-07,1.0799852487743081e-07,0.0007387228214053689,0.00034684905767532555,0.00034684905767532555,0.11303489109987509,0.6521347700158465,0.5,8.393945546208395e-10,NA,1.6319080633327895e-10,4.53307791743757e-14,0.0,6e-06,0.0,165600,0.0,0.0,0.0,1,0.0,1.2433788470742426e-05,3.77356683760992e-05,9.152233576263723e-05,9.16466225269154e-08,0.0,0.0,0.00034684905767532555,1111.9406883216434,418042.37928267964,0.0,934338.2922628534,0.0,1063938.2922628536,0.0,0.0,1.8240992311847534e-05,6.77657223182628e-15,1.7076150412229655e-17,5.291018631302018e-11,0.0,Normal_root_after_emergence,2.695404884007086e-10,1.0206823934513926e-14,5.839049204369301e-05,0.0,-0.0004224266860428159,-0.101,-0.10157162730414926
10,0.0,0.0,0.0,0.0,2606400.0208512237,0.0,2606400.0208512237,0.0,2606400.0208512237,0.0,0.0,False,0.0,472.3821654593835,Ax00001-Se00001,NA,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11958189968435706,<,0.0,NA,NA,0.0,0.1194561608637396,NA,NA,365283.4752,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,0.00035,0.0,Segment,NA,Impossible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900000.0,NA,NA,NA,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00035,NA,NA,0.0,NA,0.0,NA,NA,NA,0.0,0.00035,0.00035,NA,NA,NA,0.0,NA,0.0,NA,0.0,6e-06,0.0,165600,0.0,0.0,0.0,1,0.0,NA,0.0,NA,0.0,0.0,NA,0.00035,0.0,1063938.2922628536,0.0,1063938.2922628536,0.0,1063938.2922628536,0.0,0.0,NA,NA,NA,0.0,0.0,Support_for_seminal_root,0.0,1.0206823934513926e-14,1.0206823934513926e-14,0.0,0.0,-0.101,-0.101
