node_index,actual_elongation,actual_elongation_rate,actual_length_with_hairs,actual_potential_time_since_emergence,actual_time_since_cells_formation,actual_time_since_death,actual_time_since_emergence,actual_time_since_growth_stopped,actual_time_since_primordium_formation,actual_time_since_root_hairs_emergence_started,actual_time_since_root_hairs_emergence_stopped,all_root_hairs_formed,angle_down,angle_roll,axis_ID,biomass,C_hexose_reserve,C_hexose_root,C_hexose_soil,C_sucrose_root,cells_degradation,cells_degradation_rate,cells_release,cells_release_rate,cells_release_rate_per_day_per_cm,color,cortical_parenchyma_surface,Cs_cells_soil,Cs_mucilage_soil,dead_root_hairs_number,Deficit_cells_soil,Deficit_cells_soil_rate,Deficit_hexose_reserve,Deficit_hexose_reserve_rate,Deficit_hexose_root,Deficit_hexose_root_rate,Deficit_hexose_soil,Deficit_hexose_soil_rate,Deficit_mucilage_soil,Deficit_mucilage_soil_rate,Deficit_sucrose_root,Deficit_sucrose_root_rate,dist_to_ramif,distance_from_tip,edge_type,emergence_cost,emergence_delay_in_thermal_time,epidermis_surface_without_hairs,external_surface,former_distance_from_tip,global_sucrose_deficit,growing_zone_C_hexose_root,growth_duration,hexose_available_for_thickening,hexose_consumption_by_growth,hexose_consumption_by_growth_rate,hexose_consumption_rate_by_fungus,hexose_degradation,hexose_degradation_rate,hexose_exudation,hexose_exudation_rate,hexose_growth_demand,hexose_growth_demand_rate,hexose_immobilization_as_reserve,hexose_immobilization_as_reserve_rate,hexose_mobilization_from_reserve,hexose_mobilization_from_reserve_rate,hexose_possibly_required_for_elongation,hexose_production_from_phloem,hexose_production_from_phloem_rate,hexose_uptake_from_soil,hexose_uptake_from_soil_rate,initial_external_surface,initial_length,initial_living_root_hairs_external_surface,initial_living_root_hairs_struct_mass,initial_radius,initial_struct_mass,label,lateral_primordium_index,lateral_root_emergence_possibility,length,length_0.0-0.05_m,length_0.05-0.1_m,length_0.1-0.15_m,length_0.15-0.2_m,length_0.2-0.25_m,length_0.25-0.3_m,length_0.3-0.35_m,length_0.35-0.4_m,length_0.4-0.45_m,length_0.45-0.5_m,life_duration,list_of_elongation_supporting_elements,list_of_elongation_supporting_elements_hexose,list_of_elongation_supporting_elements_mass,living_root_hairs_external_surface,living_root_hairs_number,living_root_hairs_struct_mass,mucilage_degradation,mucilage_degradation_rate,mucilage_secretion,mucilage_secretion_rate,mucilage_secretion_rate_per_day_per_cm,net_hexose_exudation,net_hexose_exudation_rate_per_day_per_cm,net_hexose_exudation_rate_per_day_per_gram,net_hexose_immobilization_rate,net_rhizodeposition_rate_per_day_per_cm,net_sucrose_unloading_rate,non_vascular_exchange_surface_with_soil_solution,original_radius,permeability_coeff,phloem_exchange_surface_with_soil_solution,phloem_hexose_exudation,phloem_hexose_exudation_rate,phloem_hexose_uptake_from_soil,phloem_hexose_uptake_from_soil_rate,phloem_surface,phloem_surfacic_unloading_rate,potential_length,potential_radius,radius,relative_conductance_endodermis,relative_conductance_exodermis,relative_conductance_walls,resp_growth,resp_growth_rate,resp_maintenance,resp_maintenance_rate,root_hair_length,root_hair_radius,root_hairs_external_surface,root_hairs_lifespan,root_hairs_struct_mass,root_hairs_struct_mass_produced,root_hairs_volume,root_order,specific_net_exudation,stelar_parenchyma_surface,struct_mass,struct_mass_contributing_to_elongation,struct_mass_produced,sucrose_loading_in_phloem,sucrose_loading_in_phloem_rate,theoretical_radius,thermal_potential_time_since_emergence,thermal_time_since_cells_formation,thermal_time_since_death,thermal_time_since_emergence,thermal_time_since_growth_stopped,thermal_time_since_primordium_formation,thermal_time_since_root_hairs_emergence_started,thermal_time_since_root_hairs_emergence_stopped,total_exchange_surface_with_soil_solution,total_exudation_rate,total_hexose_uptake_from_soil_rate,total_net_rhizodeposition,total_root_hairs_number,type,volume,x1,x2,y1,y2,z1,z2
1,0.0,0.0,0.001,NA,2584800.0206784224,0.0,2584800.0206784224,0.0,2584800.0206784224,2404317.9969978086,2386816.84518195,True,0.0,0.0,Ax00001-Se00001,5.520404991553424e-05,5.7518047151266463e-08,0.0,9.341177661006356e-09,0.00017796264179910655,0.0,0.0,0.0,0.0,0.0,NA,2.1991148575128552e-05,0.0,0.0,131.25,1.4825312499710298e-197,4.1181423280855e-201,0.0,0.0,1.5013181734320866e-09,4.1703282261709486e-13,0.0,0.0,2.9752769467987195e-15,8.264658119434735e-19,0.0,0.0,0.0,0.1197910298575441,NA,0.0,NA,1.7592918860102843e-05,2.1991148575128554e-06,0.1196479681641512,NA,NA,5184000.0,0.0,0.0,0.0,0.0,1.6842439980169902e-12,4.678455512619551e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.6201446049675387e-12,4.500401644462173e-16,0.0,8.790660921469674e-10,2.441850236428997e-13,4.211637457163005e-15,1.169899284297196e-18,2.1991148575128554e-06,0.001,0.0,0.0,0.00035,5.387831400906495e-05,Segment,NA,Impossible,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900000.0,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.211638481225386e-15,-7.283775996700223e-11,-1.3518938241970116e-07,-4.500401644462173e-16,-7.283775996700223e-11,1.2209251182144984e-13,1.9797985077377095e-05,0.00035,0.0,4.813892921852078e-12,0.0,0.0,1.0240623813587645e-21,2.8446177032396267e-25,1.4074335088082275e-06,8.674833379861343e-08,0.001,0.00035,0.00035,3.4120317077537266e-05,0.10024332898180788,1.0,0.0,0.0,0.0,0.0,0.0004200882998532394,6e-06,2.0786004487677916e-06,165600,8.730121884824727e-07,0.0,6.2358013463033764e-12,1,0.0,1.7592918860102843e-05,5.387831400906495e-05,NA,0.0,0.0,0.0,0.00035,0.0,1053581.8753536819,0.0,1053581.8753536819,0.0,1053581.8753536819,997755.4207328473,990783.0735789001,1.9797989891270018e-05,0.0,1.1698995687589662e-18,-4.211638481225386e-15,131.25,Base_of_the_root_system,3.8484510006474964e-10,0.0,1.0206823934513926e-14,0.0,0.0,-0.1,-0.101
2,0.0,0.0,0.0,0.0,2584800.0206784224,0.0,2584800.0206784224,0.0,2584800.0206784224,0.0,0.0,False,0.0,472.3821654593835,Ax00001-Se00001,NA,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1187910298575441,<,0.0,NA,NA,0.0,0.1186479681641512,NA,NA,365283.4752,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,0.00035,0.0,Segment,NA,Impossible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900000.0,NA,NA,NA,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00035,NA,NA,0.0,NA,0.0,NA,NA,NA,0.0,0.00035,0.00035,NA,NA,NA,0.0,NA,0.0,NA,0.0,6e-06,0.0,165600,0.0,0.0,0.0,1,0.0,NA,0.0,NA,0.0,0.0,NA,0.00035,0.0,1053581.8753536819,0.0,1053581.8753536819,0.0,1053581.8753536819,0.0,0.0,NA,NA,NA,0.0,0.0,Support_for_seminal_root,0.0,1.0206823934513926e-14,1.0206823934513926e-14,0.0,0.0,-0.101,-0.101
3,7.125732311682878e-05,1.979370070743617e-08,0.0,0.0,536892.2189519337,0.0,2436983.084315373,0.0,2584800.0206784224,0.0,0.0,False,54.71828247736544,5.0,Ax00001-Se00001-Ax00001-Ap00000,0.0001747228541965895,2.00595515824093e-06,0.00014330173730344362,5.13651821770573e-06,0.00017796264179910655,9.975981118898703e-11,2.7711058441919044e-14,1.0057110996261772e-10,2.7936419210569127e-14,4.4721601600555776e-07,NA,7.715660695542868e-05,1.4350730633257605e-05,1.438989336918476e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003889209974540233,0.003889209974540233,+,0.0,43200,6.172528556434295e-05,7.715660695542868e-06,0.0038179526514234043,NA,0.00010776756552922971,5184000.0,NA,2.38473195897593e-08,6.624255388605763e-12,0.0,1.2347550039223811e-09,3.4298749834565034e-13,1.2145379806048706e-09,3.373716585801575e-13,8.191034260667349e-08,NA,1.184267846406636e-10,3.289632880368037e-14,1.1203848854696447e-10,3.112180212518238e-14,2.3847319589759346e-08,2.644584570084479e-08,7.346068191466119e-12,3.178529657131693e-12,8.829248976954046e-16,7.574295911732987e-06,0.0038179526514234043,0.0,0.0,0.00031574164083559577,0.00016740644335414427,Apex,NA,Impossible,0.003889209974540233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4420382.971698341,"[3, 1]","[2.3847319589759346e-08, 0.0]","[0.00016740644335414427, 5.387831400906495e-05]",0.0,0.0,0.0,0.0,0.0,1.2000365351247198e-11,3.33343479312341e-15,5.336279558802456e-08,1.2570322349376464e-09,5.589725998930841e-06,0.012748200589389094,1.7745266784979906e-15,6.090304810524422e-06,3.6730340957330596e-12,0.00012281251626857658,0.00031574164083559577,2e-05,1.8007509137046494e-06,4.5719389501774e-11,1.2699830315560805e-14,4.660551186655987e-14,1.294597541492105e-17,4.938022845147436e-06,7.438268738149981e-07,0.0040627060178453625,0.00031574164083559577,0.00031574164083559577,0.7293617032648291,0.9999714222700355,0.5,2.8616783507711156e-08,NA,4.068934300711444e-09,1.130259518933325e-12,0.0,6e-06,0.0,165600,0.0,0.0,0.0,1,0.0,6.172528556434295e-05,0.00017053087576989934,0.0002212847573632092,3.1244324157550956e-06,0.0,0.0,0.00031574164083559577,1251.9403135622997,232134.76815316288,0.0,1010381.8753536816,0.0,1053581.8753536819,0.0,0.0,0.00012461326718228124,3.500714888957183e-13,8.958708731103257e-16,1.3696037102515114e-09,0.0,Normal_root_after_emergence,1.2180776840707097e-09,1.0206823934513926e-14,-0.0011709690614710333,0.0,-0.0028434957933771684,-0.101,-0.10338103283391123
4,0.0,0.0,0.0,0.0,2584800.0206784224,0.0,2584800.0206784224,0.0,2584800.0206784224,0.0,0.0,False,0.0,472.3821654593835,Ax00001-Se00001,NA,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1187910298575441,<,0.0,NA,NA,0.0,0.1186479681641512,NA,NA,365283.4752,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,0.00035,0.0,Segment,NA,Impossible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900000.0,NA,NA,NA,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00035,NA,NA,0.0,NA,0.0,NA,NA,NA,0.0,0.00035,0.00035,NA,NA,NA,0.0,NA,0.0,NA,0.0,6e-06,0.0,165600,0.0,0.0,0.0,1,0.0,NA,0.0,NA,0.0,0.0,NA,0.00035,0.0,1053581.8753536819,0.0,1053581.8753536819,0.0,1053581.8753536819,0.0,0.0,NA,NA,NA,0.0,0.0,Support_for_seminal_root,0.0,1.0206823934513926e-14,1.0206823934513926e-14,0.0,0.0,-0.101,-0.101
5,7.125732311682878e-05,1.979370070743617e-08,0.0,0.0,536892.2189519337,0.0,2436983.084315373,0.0,2584800.0206784224,0.0,0.0,False,54.71828247736544,5.0,Ax00001-Se00001-Ax00002-Ap00000,0.0001747228541965895,2.00595515824093e-06,0.00014330173730344362,5.13651821770573e-06,0.00017796264179910655,9.975981118898703e-11,2.7711058441919044e-14,1.0057110996261772e-10,2.7936419210569127e-14,4.4721601600555776e-07,NA,7.715660695542868e-05,1.4350730633257605e-05,1.438989336918476e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003889209974540233,0.003889209974540233,+,0.0,43200,6.172528556434295e-05,7.715660695542868e-06,0.0038179526514234043,NA,0.00010776756552922971,5184000.0,NA,2.38473195897593e-08,6.624255388605763e-12,0.0,1.2347550039223811e-09,3.4298749834565034e-13,1.2145379806048706e-09,3.373716585801575e-13,8.191034260667349e-08,NA,1.184267846406636e-10,3.289632880368037e-14,1.1203848854696447e-10,3.112180212518238e-14,2.3847319589759346e-08,2.644584570084479e-08,7.346068191466119e-12,3.178529657131693e-12,8.829248976954046e-16,7.574295911732987e-06,0.0038179526514234043,0.0,0.0,0.00031574164083559577,0.00016740644335414427,Apex,NA,Impossible,0.003889209974540233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4420382.971698341,"[5, 1]","[2.3847319589759346e-08, 0.0]","[0.00016740644335414427, 5.387831400906495e-05]",0.0,0.0,0.0,0.0,0.0,1.2000365351247198e-11,3.33343479312341e-15,5.336279558802456e-08,1.2570322349376464e-09,5.589725998930841e-06,0.012748200589389094,1.7745266784979906e-15,6.090304810524422e-06,3.6730340957330596e-12,0.00012281251626857658,0.00031574164083559577,2e-05,1.8007509137046494e-06,4.5719389501774e-11,1.2699830315560805e-14,4.660551186655987e-14,1.294597541492105e-17,4.938022845147436e-06,7.438268738149981e-07,0.0040627060178453625,0.00031574164083559577,0.00031574164083559577,0.7293617032648291,0.9999714222700355,0.5,2.8616783507711156e-08,NA,4.068934300711444e-09,1.130259518933325e-12,0.0,6e-06,0.0,165600,0.0,0.0,0.0,1,0.0,6.172528556434295e-05,0.00017053087576989934,0.0002212847573632092,3.1244324157550956e-06,0.0,0.0,0.00031574164083559577,1251.9403135622997,232134.76815316288,0.0,1010381.8753536816,0.0,1053581.8753536819,0.0,0.0,0.00012461326718228124,3.500714888957183e-13,8.958708731103257e-16,1.3696037102515114e-09,0.0,Normal_root_after_emergence,1.2180776840707097e-09,1.0206823934513926e-14,-0.0021833953026749184,0.0,0.0021655072897742576,-0.101,-0.1033810328339211
6,0.0,0.0,0.0,0.0,2584800.0206784224,0.0,2584800.0206784224,0.0,2584800.0206784224,0.0,0.0,False,0.0,472.3821654593835,Ax00001-Se00001,NA,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1187910298575441,<,0.0,NA,NA,0.0,0.1186479681641512,NA,NA,365283.4752,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,0.00035,0.0,Segment,NA,Impossible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900000.0,NA,NA,NA,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00035,NA,NA,0.0,NA,0.0,NA,NA,NA,0.0,0.00035,0.00035,NA,NA,NA,0.0,NA,0.0,NA,0.0,6e-06,0.0,165600,0.0,0.0,0.0,1,0.0,NA,0.0,NA,0.0,0.0,NA,0.00035,0.0,1053581.8753536819,0.0,1053581.8753536819,0.0,1053581.8753536819,0.0,0.0,NA,NA,NA,0.0,0.0,Support_for_seminal_root,0.0,1.0206823934513926e-14,1.0206823934513926e-14,0.0,0.0,-0.101,-0.101
7,3.0024369556750892e-06,8.340102587932205e-10,0.0,0.0,908825.8335707731,0.0,2209990.6918821274,0.0,2584800.0206784224,0.0,0.0,False,54.71828247736544,5.0,Ax00001-Se00001-Ax00003-Ap00000,4.328019145089836e-05,9.986123380791147e-07,2.3599675323312126e-05,8.338329665869908e-07,0.00017796264179910655,3.263165099729358e-11,9.064347426733439e-15,3.2660490212681376e-11,9.072358319832628e-15,5.868762619322464e-07,NA,1.9093844502817593e-05,2.0271485491215124e-05,1.5383128480611505e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009624577002922949,0.0009624577002922949,+,0.0,129600,1.5275075602254073e-05,1.909384450281759e-06,0.0009594552633366198,NA,1.047247457486308e-05,5184000.0,NA,1.004810039140754e-09,2.791138975284094e-13,0.0,4.150458420718362e-11,1.1529051076429708e-14,3.949086033396317e-11,1.0969683338343416e-14,1.1499179944804566e-08,NA,1.403369682088662e-11,3.898249085726957e-15,1.4266208208490775e-11,3.962835581766975e-15,1.0048100391407437e-09,1.109909563742119e-09,3.0830820968412296e-13,1.0428290815979024e-13,2.896747425709083e-17,1.9034280259792925e-06,0.0009594552633366198,0.0,0.0,0.00031574164083559577,4.206940416946125e-05,Apex,NA,Impossible,0.0009624577002922949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4420382.971698341,"[7, 1]","[1.0048100391407437e-09, 0.0]","[4.206940416946125e-05, 5.387831400906495e-05]",0.0,0.0,0.0,7.004130084436376e-14,1.9455916745564823e-17,2.9738933235435606e-12,8.260814721534484e-16,5.3437881236358274e-08,4.1278985909820435e-11,7.417419882357729e-07,0.0016916528025542872,-6.458649604001802e-17,1.3820561314043774e-06,1.5415410484206148e-13,2.3802869594585654e-05,0.00031574164083559577,2e-05,7.365971140751667e-08,1.892731195062015e-12,5.257586610889349e-16,3.227110449545959e-16,8.964195621469656e-20,1.222006048180326e-06,1.2614839760540503e-07,0.000993815551830316,0.00031574164083559577,0.00031574164083559577,0.15705335169764312,0.7676079147775325,0.5,1.2057720469689045e-09,NA,2.351398537945441e-10,6.531662553150704e-14,0.0,6e-06,0.0,165600,0.0,0.0,0.0,1,0.0,1.5275075602254073e-05,4.220105255225542e-05,9.59477181785262e-05,1.3164838279416904e-07,0.0,0.0,0.00031574164083559577,1111.9406883216434,390509.3089432329,0.0,923981.8753536816,0.0,1053581.8753536819,0.0,0.0,2.387652930599317e-05,1.149544199943235e-14,2.905711621330553e-17,7.691336944604538e-11,0.0,Normal_root_after_emergence,3.014360896589673e-10,1.0206823934513926e-14,0.0007012685658634209,0.0,0.00029555703374328004,-0.101,-0.10158923107793377
8,0.0,0.0,0.0,0.0,2584800.0206784224,0.0,2584800.0206784224,0.0,2584800.0206784224,0.0,0.0,False,0.0,104.98358746701528,Ax00001-Se00001,NA,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1187910298575441,<,0.0,NA,NA,0.0,0.1186479681641512,NA,NA,365283.4752,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,0.00035,0.0,Segment,NA,Impossible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900000.0,NA,NA,NA,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00035,NA,NA,0.0,NA,0.0,NA,NA,NA,0.0,0.00035,0.00035,NA,NA,NA,0.0,NA,0.0,NA,0.0,6e-06,0.0,165600,0.0,0.0,0.0,1,0.0,NA,0.0,NA,0.0,0.0,NA,0.00035,0.0,1053581.8753536819,0.0,1053581.8753536819,0.0,1053581.8753536819,0.0,0.0,NA,NA,NA,0.0,0.0,Support_for_seminal_root,0.0,1.0206823934513926e-14,1.0206823934513926e-14,0.0,0.0,-0.101,-0.101
9,1.8253712603293407e-06,5.070475682573252e-10,0.0,0.0,965207.5184606741,0.0,2209990.6918821274,0.0,2584800.0206784224,0.0,0.0,False,38.63803904331546,5.0,Ax00001-Se00001-Ax00004-Ap00000,3.80937412960374e-05,8.864801539745325e-07,1.967358000235618e-05,6.892889408668961e-07,0.00017796264179910655,2.6843529811879906e-11,7.456535999203242e-15,2.6855667643577162e-11,7.459907619092174e-15,6.616517222441184e-07,NA,1.5297920147001202e-05,2.0953436919608902e-05,1.6545100853429057e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000701959413336339,0.000701959413336339,+,0.0,129600,1.2238336117600961e-05,1.5297920147001202e-06,0.0007001340420760097,NA,8.107725564996623e-06,5184000.0,NA,7.371885679691543e-10,2.047746005754572e-13,0.0,2.6075333947851833e-11,7.243148260902546e-15,2.498894150646657e-11,6.941372585154179e-15,1.1930585657916316e-08,NA,1.0975256550822533e-11,3.048682350839023e-15,1.117849725451183e-11,3.1051381014121815e-15,7.371885679691302e-10,8.140097731419899e-10,2.2611382406386441e-13,6.545917150918029e-14,1.81831030515297e-17,1.5258139522582437e-06,0.0007001340420760097,0.0,0.0,0.00034684905767532555,3.704589920700452e-05,Apex,NA,Impossible,0.000701959413336339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4855886.807454558,"[9, 1]","[7.371885679691302e-10, 0.0]","[3.704589920700452e-05, 5.387831400906495e-05]",0.0,0.0,0.0,1.0627410080682282e-13,2.952058332128612e-17,2.58664893902665e-12,7.185135884259608e-16,6.372810194339815e-08,2.5917909439711395e-11,6.38547871732149e-07,0.001206797815857396,-5.645575057315844e-17,1.3639276959196656e-06,1.1305691203193221e-13,1.8072731254641894e-05,0.00034684905767532555,2e-05,3.8689847614810764e-08,9.945672388231145e-13,2.7626867524071577e-16,1.4013406911207513e-16,3.892612999750072e-20,9.79066889408077e-07,1.1547414508142954e-07,0.0007296756670076769,0.00034684905767532555,0.00034684905767532555,0.11829019940988601,0.6681375609278004,0.5,8.846262815629849e-10,NA,1.7472947001856128e-10,4.853596350575709e-14,0.0,6e-06,0.0,165600,0.0,0.0,0.0,1,0.0,1.2238336117600961e-05,3.7142484311658206e-05,9.092421321606946e-05,9.658510465369048e-08,0.0,0.0,0.00034684905767532555,1111.9406883216434,414278.54180070607,0.0,923981.8753536816,0.0,1053581.8753536819,0.0,0.0,1.8111421102256706e-05,7.217641260394894e-15,1.8222029181527202e-17,5.5360226022315205e-11,0.0,Normal_root_after_emergence,2.653034593689872e-10,1.0206823934513926e-14,5.747262545010512e-05,0.0,-0.0004157863696170461,-0.101,-0.10156264163562362
10,0.0,0.0,0.0,0.0,2584800.0206784224,0.0,2584800.0206784224,0.0,2584800.0206784224,0.0,0.0,False,0.0,472.3821654593835,Ax00001-Se00001,NA,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1187910298575441,<,0.0,NA,NA,0.0,0.1186479681641512,NA,NA,365283.4752,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,0.0,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,0.00035,0.0,Segment,NA,Impossible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900000.0,NA,NA,NA,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00035,NA,NA,0.0,NA,0.0,NA,NA,NA,0.0,0.00035,0.00035,NA,NA,NA,0.0,NA,0.0,NA,0.0,6e-06,0.0,165600,0.0,0.0,0.0,1,0.0,NA,0.0,NA,0.0,0.0,NA,0.00035,0.0,1053581.8753536819,0.0,1053581.8753536819,0.0,1053581.8753536819,0.0,0.0,NA,NA,NA,0.0,0.0,Support_for_seminal_root,0.0,1.0206823934513926e-14,1.0206823934513926e-14,0.0,0.0,-0.101,-0.101
