node_index,label,type,length,x1,x2,y1,y2,z1,z2,angle_down,angle_roll
1,Segment,Base_of_the_root_system,0.001,0.0,1.0206823934513926e-14,0.0,0.0,0.0,-0.001,0.0,0.0
2,Segment,Support_for_seminal_root,0.0,1.0206823934513926e-14,1.0206823934513926e-14,0.0,0.0,-0.001,-0.001,0.0,501.95312521745734
3,Segment,Normal_root_after_emergence,0.005,1.0206823934513926e-14,-0.0033706066408552807,0.0,-0.002637850154126348,-0.001,-0.003584716123083748,60.96497468072009,5.0
4,Segment,Support_for_seminal_root,0.0,1.0206823934513926e-14,1.0206823934513926e-14,0.0,0.0,-0.001,-0.001,0.0,501.95312521745734
5,Segment,Normal_root_after_emergence,0.005,1.0206823934513926e-14,0.0010286529071729964,0.0,0.0041546498961862735,-0.001,-0.003584716123040386,60.96497468072009,5.0
6,Segment,Support_for_seminal_root,0.0,1.0206823934513926e-14,1.0206823934513926e-14,0.0,0.0,-0.001,-0.001,0.0,501.95312521745734
7,Segment,Normal_root_after_emergence,0.005,1.0206823934513926e-14,0.0017504643113208738,0.0,-0.0039057799807669046,-0.001,-0.0035847161230332714,60.96497468072009,5.0
8,Segment,Support_for_seminal_root,0.0,1.0206823934513926e-14,1.0206823934513926e-14,0.0,0.0,-0.001,-0.001,0.0,501.95312521745734
9,Segment,Normal_root_after_emergence,0.005,1.0206823934513926e-14,-0.003785658022721364,0.0,0.0019970067345850056,-0.001,-0.0035847161230878385,60.96497468072009,5.0
10,Segment,Normal_root_after_emergence,0.005,1.0206823934513926e-14,6.124094360708355e-14,0.0,0.0,-0.001,-0.006,0.0,0.0
11,Segment,Normal_root_after_emergence,0.005,6.124094360708355e-14,0.00046259250814595685,0.0,-0.00024402636169576746,-0.006,-0.010972570693943065,-6.320263323882012,103.97019444239581
12,Apex,Normal_root_before_emergence,0.0,0.00046259250814595685,0.00046259250814595685,-0.00024402636169576746,-0.00024402636169576746,-0.010972570693943065,-0.010972570693943065,29.647821290977966,2.147995525875644
13,Segment,Normal_root_after_emergence,0.005,0.00046259250814595685,0.0008140448698706775,-0.00024402636169576746,-0.0005744421931269009,-0.010972570693943065,-0.01594924695584496,-1.5942675255406515,122.21121041239954
14,Apex,Normal_root_before_emergence,0.0,0.0008140448698706775,0.0008140448698706775,-0.0005744421931269009,-0.0005744421931269009,-0.01594924695584496,-0.01594924695584496,43.546726934694036,5.615995843452348
15,Segment,Normal_root_after_emergence,0.005,0.0008140448698706775,0.00130345829220608,-0.0005744421931269009,-0.001443598354347792,-0.01594924695584496,-0.02084874101844466,7.0241978301094745,122.6032170142265
16,Apex,Normal_root_before_emergence,0.0,0.00130345829220608,0.00130345829220608,-0.001443598354347792,-0.001443598354347792,-0.02084874101844466,-0.02084874101844466,41.04854458482207,3.9784954748086907
17,Segment,Normal_root_after_emergence,0.005,0.00130345829220608,0.0017583083794155906,-0.001443598354347792,-0.002266795120202047,-0.02084874101844466,-0.025759490297613024,0.13187386424780922,121.12128047062276
18,Apex,Normal_root_before_emergence,0.0,0.0017583083794155906,0.0017583083794155906,-0.002266795120202047,-0.002266795120202047,-0.025759490297613024,-0.025759490297613024,57.50795122804082,1.8044498556107245
19,Segment,Normal_root_after_emergence,0.005,0.0017583083794155906,0.0021008016880405883,-0.002266795120202047,-0.0031292895416716133,-0.025759490297613024,-0.030672615749551026,-1.4525158667431612,117.99353897432475
20,Apex,Normal_root_before_emergence,0.0,0.0021008016880405883,0.0021008016880405883,-0.0031292895416716133,-0.0031292895416716133,-0.030672615749551026,-0.030672615749551026,28.098771100546728,1.0279076179474433
21,Segment,Normal_root_after_emergence,0.005,-0.0033706066408552807,-0.006667574904129317,-0.002637850154126348,-0.005218018261909271,-0.003584716123083748,-0.006318346091924388,0.005542773561054867,-1.447720346250994
22,Segment,Normal_root_after_emergence,0.005,0.0021008016880405883,0.002413611543824033,-0.0031292895416716133,-0.0038971253228952327,-0.030672615749551026,-0.035603394410898284,-0.6552607867345253,109.1471360092486
23,Apex,Normal_root_before_emergence,0.0,0.002413611543824033,0.002413611543824033,-0.0038971253228952327,-0.0038971253228952327,-0.035603394410898284,-0.035603394410898284,38.83691963373661,1.2154191180641662
24,Segment,Normal_root_after_emergence,0.005,0.002413611543824033,0.002126964744771379,-0.0038971253228952327,-0.004571170208442227,-0.035603394410898284,-0.040549453155480766,7.078071820321357,113.2044056549459
25,Apex,Normal_root_before_emergence,0.0,0.002126964744771379,0.002126964744771379,-0.004571170208442227,-0.004571170208442227,-0.040549453155480766,-0.040549453155480766,22.916115305035277,7.951200813787837
