Time_step,volume,bulk_density,POC,MAOC,DOC,PON,MAON,DON,microbial_C,microbial_N,dissolved_mineral_N,CO2
1,1.0,1.3,1.9857534246575343,7.997260273972603,0.18753424657534246,0.10928767123287672,0.7997260273972603,0.01875342465753425,0.29698630136986304,0.208612602739726,0.008921643835616437,0.2824657534246575
2,1.0,1.3,1.965155219437711,7.993990236416403,0.0641707174750718,0.11825776097188556,0.7993990236416404,0.006417071747507181,0.28275407624859583,0.5036497586762623,0.01100253088434821,0.493929750422218
3,1.0,1.3,1.9459359655134463,7.990799462172729,0.04294366653754428,0.12729679827567233,0.7990799462172731,0.004294366653754428,0.2333628219300094,0.7757739720246042,0.011312029399936082,0.6369580838462701
4,1.0,1.3,1.9303917909291535,7.987880287275043,0.0415675635670156,0.1365195895464577,0.7987880287275045,0.00415675635670156,0.1945137835649085,0.9821500802028368,0.010266549268258679,0.7456465746638782
5,1.0,1.3,1.9176998269464474,7.9851747277520815,0.04340902502852283,0.1458849913473224,0.7985174727752083,0.004340902502852282,0.16727944370497255,1.1421097855224647,0.008988459674546641,0.8364369765679746
6,1.0,1.3,1.9070114122776578,7.9826190373379236,0.04562252493660039,0.15535057061388294,0.7982619037337926,0.004562252493660039,0.14807703586964507,1.272272008208941,0.007839266943062088,0.9166699895781724
7,1.0,1.3,1.8977481238878304,7.980169154956604,0.04761922939895537,0.16488740619439157,0.7980169154956606,0.004761922939895536,0.13429935956520775,1.3827926022652515,0.006897793401655599,0.9901641321914019
8,1.0,1.3,1.8895224117364413,7.977795331427002,0.04928909127435943,0.17447612058682213,0.7977795331427003,0.004928909127435944,0.1242615057705683,1.4799245183860947,0.0061548559082541,1.0591316597916287
9,1.0,1.3,1.882068589010738,7.975477063303686,0.05064325006597216,0.18410342945053695,0.7975477063303688,0.0050643250065972156,0.1168615020735424,1.5676763540287881,0.005578106779849226,1.1249495955460607
10,1.0,1.3,1.8752000294552431,7.973199892517137,0.05172376884352397,0.1937600014727622,0.7973199892517139,0.005172376884352397,0.11135733855381355,1.6487170567928036,0.005133508495497643,1.1885189706302817
