step_number,time_in_days,soil_temperature_in_Celsius,sucrose_input_rate
1100,45.83333333,10,1.30E-11
1101,45.875,10,1.20E-11
1102,45.91666667,10,1.16E-11
1103,45.95833333,10,1.12E-11
1104,46,10,1.08E-11
1105,46.04166667,10,2.26E-10
1106,46.08333333,10,3.59E-10
1107,46.125,10,4.12E-10
1108,46.16666667,10,4.34E-10
1109,46.20833333,10,4.44E-10
1110,46.25,10,4.48E-10
1111,46.29166667,10,4.51E-10
1112,46.33333333,10,4.53E-10
1113,46.375,10,4.54E-10
1114,46.41666667,10,4.56E-10
1115,46.45833333,10,4.57E-10
1116,46.5,10,4.62E-10
1117,46.54166667,10,1.99E-10
1118,46.58333333,10,9.18E-11
1119,46.625,10,4.83E-11
1120,46.66666667,10,3.03E-11
1121,46.70833333,10,2.24E-11
1122,46.75,10,1.86E-11
1123,46.79166667,10,1.64E-11
1124,46.83333333,10,1.53E-11
1125,46.875,10,1.47E-11
1126,46.91666667,10,1.33E-11
1127,46.95833333,10,1.37E-11
1128,47,10,1.36E-11
1129,47.04166667,10,2.52E-10
1130,47.08333333,10,3.82E-10
1131,47.125,10,4.30E-10
1132,47.16666667,10,4.50E-10
1133,47.20833333,10,4.57E-10
1134,47.25,10,4.61E-10
1135,47.29166667,10,4.64E-10
1136,47.33333333,10,4.65E-10
1137,47.375,10,4.66E-10
1138,47.41666667,10,4.67E-10
1139,47.45833333,10,4.68E-10
1140,47.5,10,4.68E-10
1141,47.54166667,10,1.85E-10
1142,47.58333333,10,8.19E-11
1143,47.625,10,4.26E-11
1144,47.66666667,10,2.66E-11
1145,47.70833333,10,2.00E-11
1146,47.75,10,1.69E-11
1147,47.79166667,10,1.52E-11
1148,47.83333333,10,1.42E-11
1149,47.875,10,1.36E-11
1150,47.91666667,10,1.32E-11
1151,47.95833333,10,1.30E-11
1152,48,10,1.27E-11
1153,48.04166667,10,2.70E-10
1154,48.08333333,10,3.97E-10
1155,48.125,10,4.40E-10
1156,48.16666667,10,4.56E-10
1157,48.20833333,10,4.64E-10
1158,48.25,10,4.67E-10
1159,48.29166667,10,4.70E-10
1160,48.33333333,10,4.73E-10
1161,48.375,10,4.75E-10
1162,48.41666667,10,4.77E-10
1163,48.45833333,10,4.78E-10
1164,48.5,10,4.79E-10
1165,48.54166667,10,1.76E-10
1166,48.58333333,10,7.28E-11
1167,48.625,10,3.69E-11
1168,48.66666667,10,2.37E-11
1169,48.70833333,10,1.83E-11
1170,48.75,10,1.57E-11
1171,48.79166667,10,1.41E-11
1172,48.83333333,10,1.32E-11
1173,48.875,10,1.27E-11
1174,48.91666667,10,1.23E-11
1175,48.95833333,10,1.22E-11
1176,49,10,1.21E-11
1177,49.04166667,10,2.93E-10
1178,49.08333333,10,4.20E-10
1179,49.125,10,4.59E-10
1180,49.16666667,10,4.73E-10
1181,49.20833333,10,4.80E-10
1182,49.25,10,4.83E-10
1183,49.29166667,10,4.86E-10
1184,49.33333333,10,4.81E-10
1185,49.375,10,4.81E-10
1186,49.41666667,10,4.82E-10
1187,49.45833333,10,4.83E-10
1188,49.5,10,4.83E-10
1189,49.54166667,10,1.58E-10
1190,49.58333333,10,5.52E-11
1191,49.625,10,2.30E-11
1192,49.66666667,10,1.11E-11
1193,49.70833333,10,5.85E-12
1194,49.75,10,2.79E-12
1195,49.79166667,10,1.18E-12
1196,49.83333333,10,-6.76E-13
1197,49.875,10,-8.32E-13
1198,49.91666667,10,-1.29E-12
1199,49.95833333,10,-1.69E-12
1200,50,10,-2.10E-12
1201,50.04166667,10,2.97E-10
1202,50.08333333,10,4.21E-10
1203,50.125,10,4.58E-10
1204,50.16666667,10,4.71E-10
1205,50.20833333,10,4.77E-10
1206,50.25,10,4.80E-10
1207,50.29166667,10,4.82E-10
1208,50.33333333,10,4.85E-10
1209,50.375,10,4.85E-10
1210,50.41666667,10,4.86E-10
1211,50.45833333,10,4.87E-10
1212,50.5,10,4.88E-10
1213,50.54166667,10,1.48E-10
1214,50.58333333,10,4.62E-11
1215,50.625,10,1.44E-11
1216,50.66666667,10,3.25E-12
1217,50.70833333,10,-1.68E-12
1218,50.75,10,-4.28E-12
1219,50.79166667,10,-5.86E-12
1220,50.83333333,10,-6.81E-12
1221,50.875,10,-7.46E-12
1222,50.91666667,10,-7.98E-12
1223,50.95833333,10,-8.40E-12
1224,51,10,-8.83E-12
1225,51.04166667,10,3.04E-10
1226,51.08333333,10,4.26E-10
1227,51.125,10,4.59E-10
1228,51.16666667,10,4.76E-10
1229,51.20833333,10,4.83E-10
1230,51.25,10,4.86E-10
1231,51.29166667,10,4.86E-10
1232,51.33333333,10,4.86E-10
1233,51.375,10,4.92E-10
1234,51.41666667,10,4.95E-10
1235,51.45833333,10,4.96E-10
1236,51.5,10,4.97E-10
1237,51.54166667,10,1.37E-10
1238,51.58333333,10,3.82E-11
1239,51.625,10,6.74E-12
1240,51.66666667,10,-3.92E-12
1241,51.70833333,10,-8.38E-12
1242,51.75,10,-1.05E-11
1243,51.79166667,10,-1.16E-11
1244,51.83333333,10,-1.25E-11
1245,51.875,10,-1.30E-11
1246,51.91666667,10,-1.35E-11
1247,51.95833333,10,-1.38E-11
1248,52,10,-1.43E-11
1249,52.04166667,10,3.18E-10
1250,52.08333333,10,4.41E-10
1251,52.125,10,4.74E-10
1252,52.16666667,10,4.86E-10
1253,52.20833333,10,4.92E-10
1254,52.25,10,4.95E-10
1255,52.29166667,10,4.97E-10
1256,52.33333333,10,4.99E-10
1257,52.375,10,5.01E-10
1258,52.41666667,10,5.02E-10
1259,52.45833333,10,5.03E-10
1260,52.5,10,5.04E-10
1261,52.54166667,10,1.28E-10
1262,52.58333333,10,2.78E-11
1263,52.625,10,-7.32E-13
1264,52.66666667,10,-9.77E-12
1265,52.70833333,10,-1.38E-11
1266,52.75,10,-1.56E-11
1267,52.79166667,10,-1.67E-11
1268,52.83333333,10,-1.75E-11
1269,52.875,10,-1.81E-11
1270,52.91666667,10,-1.85E-11
1271,52.95833333,10,-1.89E-11
1272,53,10,-2.21E-11
1273,53.04166667,10,3.32E-10
1274,53.08333333,10,4.54E-10
1275,53.125,10,4.87E-10
1276,53.16666667,10,4.99E-10
1277,53.20833333,10,5.05E-10
1278,53.25,10,5.08E-10
1279,53.29166667,10,5.11E-10
1280,53.33333333,10,5.17E-10
1281,53.375,10,5.21E-10
1282,53.41666667,10,5.23E-10
1283,53.45833333,10,5.24E-10
1284,53.5,10,5.25E-10
1285,53.54166667,10,1.26E-10
1286,53.58333333,10,2.27E-11
1287,53.625,10,-5.38E-12
1288,53.66666667,10,-1.43E-11
1289,53.70833333,10,-1.77E-11
1290,53.75,10,-1.94E-11
1291,53.79166667,10,-2.00E-11
1292,53.83333333,10,-1.98E-11
1293,53.875,10,-2.14E-11
1294,53.91666667,10,-2.19E-11
1295,53.95833333,10,-2.23E-11
1296,54,10,-2.25E-11
1297,54.04166667,10,3.46E-10
1298,54.08333333,10,4.69E-10
1299,54.125,10,5.02E-10
1300,54.16666667,10,5.13E-10
1301,54.20833333,10,5.20E-10
1302,54.25,10,5.25E-10
1303,54.29166667,10,5.28E-10
1304,54.33333333,10,5.31E-10
1305,54.375,10,5.33E-10
1306,54.41666667,10,5.35E-10
1307,54.45833333,10,5.36E-10
1308,54.5,10,5.38E-10
1309,54.54166667,10,1.23E-10
1310,54.58333333,10,1.88E-11
1311,54.625,10,-1.08E-11
1312,54.66666667,10,-2.58E-13
1313,54.70833333,10,-1.84E-13
1314,54.75,10,-1.57E-12
1315,54.79166667,10,-2.76E-12
1316,54.83333333,10,-3.66E-12
1317,54.875,10,-4.54E-12
1318,54.91666667,10,-5.08E-12
1319,54.95833333,10,-5.45E-12
1320,55,10,-5.89E-12
1321,55.04166667,10,3.79E-10
1322,55.08333333,10,4.98E-10
1323,55.125,10,5.28E-10
1324,55.16666667,10,5.38E-10
1325,55.20833333,10,5.41E-10
1326,55.25,10,5.45E-10
1327,55.29166667,10,5.47E-10
1328,55.33333333,10,5.49E-10
1329,55.375,10,5.53E-10
1330,55.41666667,10,5.52E-10
1331,55.45833333,10,5.28E-10
1332,55.5,10,5.49E-10
1333,55.54166667,10,1.56E-10
1334,55.58333333,10,5.35E-11
1335,55.625,10,2.87E-11
1336,55.66666667,10,1.92E-11
1337,55.70833333,10,1.48E-11
1338,55.75,10,1.27E-11
1339,55.79166667,10,1.15E-11
1340,55.83333333,10,9.48E-12
1341,55.875,10,7.88E-12
1342,55.91666667,10,6.91E-12
1343,55.95833333,10,6.26E-12
1344,56,10,5.48E-12
1345,56.04166667,10,3.69E-10
1346,56.08333333,10,4.87E-10
1347,56.125,10,5.14E-10
1348,56.16666667,10,5.23E-10
1349,56.20833333,10,5.27E-10
1350,56.25,10,5.25E-10
1351,56.29166667,10,5.24E-10
1352,56.33333333,10,5.25E-10
1353,56.375,10,5.25E-10
1354,56.41666667,10,5.26E-10
1355,56.45833333,10,5.26E-10
1356,56.5,10,5.27E-10
1357,56.54166667,10,1.29E-10
1358,56.58333333,10,2.80E-11
1359,56.625,10,4.47E-12
1360,56.66666667,10,-7.67E-12
1361,56.70833333,10,-8.38E-12
1362,56.75,10,-1.01E-11
1363,56.79166667,10,-1.14E-11
1364,56.83333333,10,-1.23E-11
1365,56.875,10,-1.29E-11
1366,56.91666667,10,-1.35E-11
1367,56.95833333,10,-1.39E-11
1368,57,10,-1.44E-11
1369,57.04166667,10,3.52E-10
1370,57.08333333,10,4.65E-10
1371,57.125,10,4.90E-10
1372,57.16666667,10,4.99E-10
1373,57.20833333,10,5.03E-10
1374,57.25,10,5.06E-10
1375,57.29166667,10,5.09E-10
1376,57.33333333,10,5.10E-10
1377,57.375,10,5.11E-10
1378,57.41666667,10,5.12E-10
1379,57.45833333,10,5.12E-10
1380,57.5,10,5.00E-10
1381,57.54166667,10,9.96E-11
1382,57.58333333,10,2.16E-12
1383,57.625,10,-1.85E-11
1384,57.66666667,10,-2.31E-11
1385,57.70833333,10,-2.90E-11
1386,57.75,10,-3.14E-11
1387,57.79166667,10,-3.30E-11
1388,57.83333333,10,-3.41E-11
1389,57.875,10,-3.54E-11
1390,57.91666667,10,-3.70E-11
1391,57.95833333,10,-3.79E-11
1392,58,10,-3.91E-11
1393,58.04166667,10,3.30E-10
1394,58.08333333,10,4.43E-10
1395,58.125,10,4.68E-10
1396,58.16666667,10,4.76E-10
1397,58.20833333,10,4.81E-10
1398,58.25,10,4.95E-10
1399,58.29166667,10,4.98E-10
1400,58.33333333,10,5.00E-10
1401,58.375,10,5.01E-10
1402,58.41666667,10,4.98E-10
1403,58.45833333,10,5.03E-10
1404,58.5,10,5.03E-10
1405,58.54166667,10,9.13E-11
1406,58.58333333,10,-7.38E-12
1407,58.625,10,-2.72E-11
1408,58.66666667,10,-3.40E-11
1409,58.70833333,10,-3.71E-11
1410,58.75,10,-3.93E-11
1411,58.79166667,10,-4.07E-11
1412,58.83333333,10,-4.18E-11
