step_number,time_in_days,soil_temperature_in_Celsius,sucrose_input_rate
720,30.00000024,10.46245077,2.51E-11
721,30.04166691,10.42685626,2.50E-11
722,30.08333357,10.39126175,2.48E-11
723,30.12500024,10.35566724,2.47E-11
724,30.16666691,10.32007272,2.45E-11
725,30.20833357,10.28447821,2.44E-11
726,30.25000024,10.2488837,2.43E-11
727,30.29166691,10.21328918,2.41E-11
728,30.33333358,10.17769467,2.40E-11
729,30.37500024,10.14210016,2.39E-11
730,30.41666691,10.10650564,2.37E-11
731,30.45833358,10.07091113,2.36E-11
732,30.50000024,10.03531662,2.34E-11
733,30.54166691,9.999722104,2.33E-11
734,30.58333358,9.964127591,2.32E-11
735,30.62500025,9.928533078,2.30E-11
736,30.66666691,9.892938565,2.29E-11
737,30.70833358,9.857344052,2.28E-11
738,30.75000025,9.821749539,2.26E-11
739,30.79166691,9.786155026,2.25E-11
740,30.83333358,9.750560513,2.23E-11
741,30.87500025,9.714965999,2.22E-11
742,30.91666691,9.679371486,2.21E-11
743,30.95833358,9.643776973,2.19E-11
744,31.00000025,9.608182454,2.18E-11
745,31.04166691,9.571477573,2.17E-11
746,31.08333358,9.534772693,2.15E-11
747,31.12500025,9.498067813,2.14E-11
748,31.16666692,9.461362933,2.12E-11
749,31.20833358,9.424658053,2.11E-11
750,31.25000025,9.387953173,2.09E-11
751,31.29166692,9.351248293,2.08E-11
752,31.33333358,9.314543413,2.07E-11
753,31.37500025,9.277838533,2.05E-11
754,31.41666692,9.241133653,2.04E-11
755,31.45833359,9.204428773,2.02E-11
756,31.50000025,9.167723893,2.01E-11
757,31.54166692,9.131019012,2.00E-11
758,31.58333359,9.094314132,1.98E-11
759,31.62500025,9.057609252,1.97E-11
760,31.66666692,9.020904372,1.95E-11
761,31.70833359,8.984199492,1.94E-11
762,31.75000025,8.947494612,1.92E-11
763,31.79166692,8.910789732,1.91E-11
764,31.83333359,8.874084852,1.90E-11
765,31.87500026,8.837379972,1.88E-11
766,31.91666692,8.800675092,1.87E-11
767,31.95833359,8.763970212,1.85E-11
